,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
AlphaFold-rsa,57,0.891,0.754,0.881,0.86,0.839,0.174,0.078,0.044,0.782,0.799,0.818,0.922,0.896,0.956,0.826,0.551
AlphaFold-rsa,58,0.891,0.754,0.881,0.86,0.84,0.173,0.077,0.045,0.782,0.8,0.818,0.923,0.895,0.955,0.827,0.551
AlphaFold-rsa,59,0.889,0.75,0.879,0.857,0.836,0.177,0.079,0.045,0.778,0.797,0.815,0.921,0.894,0.955,0.823,0.551
AlphaFold-rsa,60,0.887,0.747,0.879,0.855,0.833,0.181,0.081,0.045,0.774,0.794,0.814,0.919,0.895,0.955,0.819,0.551
AlphaFold-rsa,61,0.89,0.753,0.881,0.859,0.838,0.175,0.078,0.044,0.781,0.799,0.818,0.922,0.896,0.956,0.825,0.551
AlphaFold-rsa,62,0.889,0.75,0.879,0.857,0.836,0.177,0.079,0.045,0.778,0.796,0.815,0.921,0.894,0.955,0.823,0.551
AlphaFold-rsa,63,0.889,0.749,0.876,0.856,0.837,0.175,0.078,0.047,0.778,0.795,0.812,0.922,0.89,0.953,0.825,0.551
AlphaFold-rsa,64,0.889,0.75,0.88,0.857,0.836,0.178,0.079,0.044,0.778,0.797,0.817,0.921,0.896,0.956,0.822,0.551
AlphaFold-rsa,65,0.888,0.748,0.877,0.856,0.836,0.177,0.078,0.046,0.777,0.795,0.813,0.922,0.891,0.954,0.823,0.551
AlphaFold-rsa,66,0.888,0.747,0.876,0.855,0.835,0.178,0.078,0.046,0.776,0.794,0.813,0.922,0.891,0.954,0.822,0.551
AlphaFold-rsa,67,0.889,0.748,0.877,0.856,0.836,0.177,0.078,0.046,0.777,0.795,0.813,0.922,0.891,0.954,0.823,0.551
AlphaFold-rsa,68,0.889,0.751,0.88,0.858,0.837,0.176,0.079,0.045,0.779,0.797,0.816,0.921,0.895,0.955,0.824,0.551
AlphaFold-rsa,69,0.89,0.751,0.879,0.858,0.838,0.175,0.078,0.045,0.78,0.798,0.815,0.922,0.893,0.955,0.825,0.551
AlphaFold-rsa,70,0.89,0.752,0.88,0.859,0.838,0.175,0.078,0.045,0.78,0.798,0.817,0.922,0.895,0.955,0.825,0.551
AlphaFold-rsa,71,0.888,0.748,0.877,0.856,0.836,0.177,0.08,0.046,0.777,0.794,0.812,0.92,0.892,0.954,0.823,0.551
AlphaFold-rsa,72,0.89,0.751,0.878,0.858,0.838,0.174,0.077,0.046,0.78,0.797,0.815,0.923,0.892,0.954,0.826,0.551
AlphaFold-rsa,73,0.888,0.747,0.877,0.855,0.834,0.179,0.079,0.045,0.776,0.795,0.813,0.921,0.892,0.955,0.821,0.551
AlphaFold-rsa,74,0.887,0.748,0.879,0.856,0.833,0.181,0.081,0.044,0.775,0.795,0.815,0.919,0.896,0.956,0.819,0.551
AlphaFold-rsa,75,0.89,0.752,0.878,0.858,0.839,0.173,0.078,0.046,0.781,0.798,0.814,0.922,0.892,0.954,0.827,0.551
AlphaFold-rsa,76,0.888,0.748,0.877,0.856,0.837,0.176,0.08,0.047,0.777,0.794,0.811,0.92,0.891,0.953,0.824,0.551
AlphaFold-rsa,77,0.888,0.748,0.877,0.856,0.836,0.177,0.08,0.046,0.777,0.794,0.812,0.92,0.892,0.954,0.823,0.551
AlphaFold-rsa,78,0.891,0.755,0.881,0.86,0.84,0.173,0.078,0.045,0.782,0.8,0.818,0.922,0.896,0.955,0.827,0.551
AlphaFold-rsa,79,0.889,0.751,0.88,0.857,0.836,0.177,0.079,0.045,0.778,0.797,0.816,0.921,0.895,0.955,0.823,0.551
