,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
AlphaFold-rsa,22,0.895,0.747,0.85,0.855,0.86,0.136,0.064,0.073,0.791,0.786,0.782,0.936,0.846,0.927,0.864,0.5
AlphaFold-rsa,23,0.894,0.743,0.846,0.852,0.859,0.137,0.064,0.075,0.788,0.783,0.778,0.936,0.842,0.925,0.863,0.5
AlphaFold-rsa,24,0.894,0.744,0.849,0.853,0.857,0.14,0.065,0.072,0.788,0.784,0.781,0.935,0.846,0.928,0.86,0.5
AlphaFold-rsa,25,0.894,0.742,0.847,0.852,0.857,0.139,0.065,0.074,0.787,0.782,0.778,0.935,0.843,0.926,0.861,0.5
AlphaFold-rsa,26,0.893,0.743,0.849,0.853,0.857,0.14,0.066,0.074,0.786,0.783,0.78,0.934,0.846,0.926,0.86,0.5
AlphaFold-rsa,27,0.893,0.742,0.847,0.852,0.857,0.14,0.065,0.074,0.786,0.783,0.779,0.935,0.844,0.926,0.86,0.5
AlphaFold-rsa,28,0.895,0.745,0.848,0.854,0.86,0.136,0.064,0.074,0.79,0.785,0.78,0.936,0.844,0.926,0.864,0.5
AlphaFold-rsa,29,0.894,0.743,0.848,0.853,0.858,0.138,0.065,0.075,0.787,0.783,0.779,0.935,0.844,0.925,0.862,0.5
AlphaFold-rsa,30,0.892,0.74,0.846,0.851,0.856,0.14,0.066,0.076,0.784,0.78,0.776,0.934,0.842,0.924,0.86,0.5
AlphaFold-rsa,31,0.894,0.743,0.847,0.852,0.858,0.139,0.064,0.073,0.788,0.784,0.78,0.936,0.844,0.927,0.861,0.5
AlphaFold-rsa,32,0.893,0.741,0.846,0.851,0.857,0.14,0.065,0.074,0.786,0.782,0.778,0.935,0.843,0.926,0.86,0.5
AlphaFold-rsa,33,0.895,0.745,0.849,0.854,0.859,0.137,0.065,0.074,0.789,0.785,0.78,0.935,0.845,0.926,0.863,0.5
AlphaFold-rsa,34,0.895,0.745,0.849,0.854,0.859,0.137,0.064,0.073,0.79,0.785,0.781,0.936,0.845,0.927,0.863,0.5
AlphaFold-rsa,35,0.893,0.743,0.849,0.852,0.856,0.141,0.066,0.072,0.787,0.783,0.78,0.934,0.846,0.928,0.859,0.5
AlphaFold-rsa,36,0.891,0.738,0.844,0.849,0.854,0.143,0.067,0.075,0.782,0.778,0.774,0.933,0.841,0.925,0.857,0.5
AlphaFold-rsa,37,0.891,0.739,0.845,0.85,0.855,0.141,0.067,0.076,0.783,0.779,0.774,0.933,0.841,0.924,0.859,0.5
AlphaFold-rsa,38,0.893,0.741,0.846,0.851,0.856,0.14,0.065,0.074,0.786,0.781,0.777,0.935,0.842,0.926,0.86,0.5
AlphaFold-rsa,39,0.893,0.74,0.845,0.851,0.857,0.139,0.065,0.075,0.786,0.781,0.776,0.935,0.841,0.925,0.861,0.5
AlphaFold-rsa,40,0.896,0.747,0.85,0.855,0.861,0.136,0.064,0.073,0.791,0.787,0.783,0.936,0.847,0.927,0.864,0.5
AlphaFold-rsa,41,0.894,0.744,0.848,0.853,0.858,0.138,0.064,0.073,0.789,0.784,0.78,0.936,0.844,0.927,0.862,0.5
AlphaFold-rsa,42,0.894,0.744,0.849,0.853,0.857,0.14,0.065,0.072,0.788,0.784,0.781,0.935,0.846,0.928,0.86,0.5
AlphaFold-rsa,43,0.893,0.743,0.847,0.852,0.858,0.139,0.065,0.074,0.787,0.783,0.779,0.935,0.844,0.926,0.861,0.5
AlphaFold-rsa,44,0.894,0.745,0.849,0.854,0.859,0.138,0.065,0.073,0.789,0.785,0.781,0.935,0.846,0.927,0.862,0.5
AlphaFold-rsa,45,0.891,0.738,0.844,0.849,0.854,0.143,0.066,0.075,0.782,0.779,0.775,0.934,0.841,0.925,0.857,0.5
AlphaFold-rsa,46,0.894,0.744,0.849,0.853,0.857,0.14,0.066,0.073,0.787,0.784,0.78,0.934,0.846,0.927,0.86,0.5
AlphaFold-rsa,47,0.893,0.741,0.844,0.851,0.858,0.138,0.064,0.076,0.786,0.781,0.776,0.936,0.84,0.924,0.862,0.5
AlphaFold-rsa,48,0.894,0.743,0.847,0.852,0.858,0.138,0.064,0.074,0.788,0.783,0.779,0.936,0.843,0.926,0.862,0.5
AlphaFold-rsa,49,0.894,0.742,0.847,0.852,0.858,0.138,0.065,0.074,0.788,0.783,0.778,0.935,0.843,0.926,0.862,0.5
AlphaFold-rsa,50,0.893,0.743,0.849,0.853,0.857,0.141,0.066,0.072,0.787,0.784,0.781,0.934,0.847,0.928,0.859,0.5
AlphaFold-rsa,51,0.894,0.744,0.848,0.853,0.859,0.138,0.064,0.073,0.789,0.785,0.781,0.936,0.845,0.927,0.862,0.5
AlphaFold-rsa,52,0.896,0.749,0.852,0.856,0.861,0.136,0.064,0.071,0.793,0.789,0.785,0.936,0.849,0.929,0.864,0.5
AlphaFold-rsa,53,0.894,0.745,0.849,0.853,0.858,0.139,0.065,0.073,0.788,0.785,0.781,0.935,0.846,0.927,0.861,0.5
AlphaFold-rsa,54,0.894,0.744,0.848,0.853,0.858,0.139,0.064,0.072,0.789,0.785,0.781,0.936,0.845,0.928,0.861,0.5
AlphaFold-rsa,55,0.895,0.746,0.851,0.855,0.859,0.138,0.065,0.072,0.79,0.786,0.783,0.935,0.848,0.928,0.862,0.5
AlphaFold-rsa,56,0.896,0.747,0.851,0.855,0.86,0.137,0.064,0.072,0.791,0.787,0.784,0.936,0.848,0.928,0.863,0.5
AlphaFold-rsa,57,0.895,0.746,0.849,0.854,0.86,0.137,0.064,0.073,0.79,0.786,0.782,0.936,0.846,0.927,0.863,0.5
AlphaFold-rsa,58,0.895,0.745,0.848,0.853,0.859,0.137,0.064,0.074,0.789,0.785,0.78,0.936,0.844,0.926,0.863,0.5
AlphaFold-rsa,59,0.893,0.742,0.849,0.852,0.856,0.141,0.066,0.073,0.786,0.783,0.78,0.934,0.846,0.927,0.859,0.5
AlphaFold-rsa,60,0.893,0.743,0.849,0.852,0.856,0.142,0.066,0.072,0.786,0.783,0.781,0.934,0.847,0.928,0.858,0.5
AlphaFold-rsa,61,0.895,0.746,0.85,0.855,0.86,0.137,0.064,0.072,0.791,0.786,0.783,0.936,0.847,0.928,0.863,0.5
AlphaFold-rsa,62,0.894,0.743,0.849,0.853,0.857,0.14,0.065,0.073,0.787,0.784,0.781,0.935,0.846,0.927,0.86,0.5
AlphaFold-rsa,63,0.894,0.742,0.846,0.852,0.858,0.138,0.064,0.074,0.788,0.783,0.778,0.936,0.842,0.926,0.862,0.5
AlphaFold-rsa,64,0.894,0.745,0.849,0.853,0.858,0.139,0.065,0.072,0.789,0.785,0.781,0.935,0.846,0.928,0.861,0.5
AlphaFold-rsa,65,0.893,0.74,0.845,0.85,0.856,0.14,0.065,0.074,0.786,0.781,0.776,0.935,0.841,0.926,0.86,0.5
AlphaFold-rsa,66,0.892,0.738,0.843,0.849,0.855,0.141,0.065,0.075,0.784,0.779,0.774,0.935,0.839,0.925,0.859,0.5
AlphaFold-rsa,67,0.893,0.74,0.845,0.85,0.856,0.141,0.065,0.074,0.785,0.781,0.777,0.935,0.842,0.926,0.859,0.5
AlphaFold-rsa,68,0.894,0.743,0.848,0.853,0.858,0.139,0.066,0.074,0.787,0.783,0.779,0.934,0.845,0.926,0.861,0.5
AlphaFold-rsa,69,0.894,0.743,0.847,0.852,0.858,0.138,0.064,0.074,0.788,0.783,0.779,0.936,0.843,0.926,0.862,0.5
AlphaFold-rsa,70,0.894,0.744,0.848,0.853,0.858,0.139,0.065,0.073,0.788,0.784,0.78,0.935,0.845,0.927,0.861,0.5
AlphaFold-rsa,71,0.893,0.742,0.846,0.851,0.857,0.14,0.066,0.074,0.786,0.782,0.777,0.934,0.843,0.926,0.86,0.5
AlphaFold-rsa,72,0.894,0.742,0.845,0.851,0.858,0.138,0.064,0.075,0.787,0.782,0.777,0.936,0.841,0.925,0.862,0.5
AlphaFold-rsa,73,0.892,0.739,0.845,0.85,0.855,0.142,0.065,0.074,0.784,0.78,0.777,0.935,0.842,0.926,0.858,0.5
AlphaFold-rsa,74,0.892,0.741,0.848,0.851,0.855,0.143,0.067,0.073,0.784,0.782,0.779,0.933,0.846,0.927,0.857,0.5
AlphaFold-rsa,75,0.895,0.745,0.847,0.854,0.861,0.135,0.063,0.075,0.79,0.785,0.78,0.937,0.843,0.925,0.865,0.5
AlphaFold-rsa,76,0.894,0.743,0.847,0.852,0.858,0.138,0.065,0.075,0.787,0.783,0.778,0.935,0.843,0.925,0.862,0.5
AlphaFold-rsa,77,0.893,0.741,0.846,0.851,0.856,0.14,0.066,0.075,0.785,0.781,0.776,0.934,0.842,0.925,0.86,0.5
AlphaFold-rsa,78,0.896,0.747,0.85,0.855,0.861,0.136,0.064,0.072,0.792,0.787,0.783,0.936,0.847,0.928,0.864,0.5
AlphaFold-rsa,79,0.894,0.744,0.849,0.853,0.857,0.141,0.066,0.072,0.787,0.784,0.781,0.934,0.847,0.928,0.859,0.5
AlphaFold-rsa,80,0.895,0.745,0.849,0.854,0.859,0.138,0.065,0.073,0.789,0.786,0.781,0.935,0.846,0.927,0.862,0.5
