,LIPNet,LIPNet,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred,AIUPred,AIUPred
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.791,54142.0,13696.0,22658.0,8743.0,67524.0,314.0,15582.0,15819.0,66674.0,1078.0,13739.0,17627.0
0.79,54085.0,13753.0,22628.0,8773.0,67521.0,317.0,15528.0,15873.0,66660.0,1092.0,13695.0,17671.0
0.789,54014.0,13824.0,22601.0,8800.0,67516.0,322.0,15475.0,15926.0,66647.0,1105.0,13646.0,17720.0
0.788,53939.0,13899.0,22571.0,8830.0,67513.0,325.0,15429.0,15972.0,66631.0,1121.0,13581.0,17785.0
0.787,53880.0,13958.0,22538.0,8863.0,67511.0,327.0,15380.0,16021.0,66611.0,1141.0,13523.0,17843.0
0.786,53806.0,14032.0,22515.0,8886.0,67507.0,331.0,15336.0,16065.0,66593.0,1159.0,13473.0,17893.0
0.785,53748.0,14090.0,22493.0,8908.0,67507.0,331.0,15296.0,16105.0,66573.0,1179.0,13429.0,17937.0
0.784,53684.0,14154.0,22469.0,8932.0,67506.0,332.0,15245.0,16156.0,66555.0,1197.0,13386.0,17980.0
0.783,53623.0,14215.0,22447.0,8954.0,67503.0,335.0,15185.0,16216.0,66536.0,1216.0,13334.0,18032.0
0.782,53567.0,14271.0,22406.0,8995.0,67499.0,339.0,15136.0,16265.0,66517.0,1235.0,13279.0,18087.0
0.781,53507.0,14331.0,22382.0,9019.0,67498.0,340.0,15079.0,16322.0,66502.0,1250.0,13235.0,18131.0
0.78,53443.0,14395.0,22367.0,9034.0,67495.0,343.0,15039.0,16362.0,66491.0,1261.0,13181.0,18185.0
0.779,53386.0,14452.0,22344.0,9057.0,67493.0,345.0,14993.0,16408.0,66480.0,1272.0,13136.0,18230.0
0.778,53314.0,14524.0,22313.0,9088.0,67489.0,349.0,14942.0,16459.0,66451.0,1301.0,13098.0,18268.0
0.777,53254.0,14584.0,22276.0,9125.0,67485.0,353.0,14889.0,16512.0,66438.0,1314.0,13047.0,18319.0
0.776,53197.0,14641.0,22253.0,9148.0,67484.0,354.0,14823.0,16578.0,66422.0,1330.0,12996.0,18370.0
