predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
0.652,0.394,0.361,0.697,0.952,0.717,0.823
0.651,0.394,0.361,0.698,0.952,0.718,0.823
0.65,0.395,0.361,0.7,0.951,0.719,0.822
0.649,0.396,0.361,0.701,0.951,0.72,0.821
0.648,0.397,0.361,0.702,0.951,0.72,0.819
0.647,0.398,0.36,0.703,0.95,0.721,0.818
0.646,0.398,0.36,0.704,0.95,0.722,0.817
0.645,0.399,0.36,0.705,0.95,0.723,0.816
0.644,0.4,0.36,0.707,0.949,0.723,0.815
0.643,0.401,0.36,0.708,0.949,0.724,0.814
0.642,0.402,0.36,0.709,0.948,0.725,0.812
0.641,0.403,0.36,0.71,0.948,0.725,0.811
0.64,0.404,0.36,0.711,0.948,0.726,0.81
0.639,0.405,0.36,0.712,0.947,0.727,0.809
0.638,0.406,0.36,0.713,0.947,0.728,0.809
0.637,0.407,0.36,0.715,0.946,0.728,0.808
0.636,0.408,0.359,0.716,0.946,0.729,0.807
0.635,0.408,0.359,0.717,0.946,0.73,0.806
0.634,0.409,0.359,0.718,0.945,0.73,0.805
0.633,0.41,0.359,0.719,0.945,0.731,0.804
0.632,0.411,0.359,0.72,0.945,0.732,0.803
0.631,0.412,0.359,0.721,0.944,0.733,0.802
0.63,0.413,0.359,0.723,0.944,0.734,0.801
0.629,0.414,0.359,0.724,0.943,0.734,0.8
0.628,0.414,0.359,0.725,0.943,0.735,0.799
0.627,0.415,0.359,0.726,0.943,0.736,0.798
0.626,0.416,0.358,0.728,0.942,0.736,0.797
0.625,0.417,0.358,0.729,0.942,0.737,0.796
0.624,0.417,0.358,0.73,0.941,0.738,0.796
0.623,0.418,0.358,0.732,0.941,0.738,0.795
0.622,0.419,0.358,0.733,0.94,0.739,0.794
0.621,0.42,0.358,0.734,0.94,0.74,0.793
0.62,0.421,0.357,0.735,0.939,0.74,0.792
0.619,0.422,0.357,0.737,0.939,0.741,0.791
0.618,0.423,0.357,0.738,0.939,0.742,0.79
0.617,0.424,0.357,0.74,0.938,0.742,0.789
0.616,0.424,0.357,0.741,0.938,0.743,0.788
0.615,0.425,0.357,0.743,0.937,0.743,0.787
0.614,0.426,0.357,0.744,0.937,0.744,0.786
0.613,0.427,0.357,0.745,0.936,0.745,0.785
0.612,0.427,0.356,0.747,0.936,0.746,0.784
0.611,0.428,0.356,0.749,0.935,0.746,0.783
0.61,0.429,0.356,0.751,0.935,0.747,0.782
0.609,0.43,0.356,0.752,0.934,0.748,0.781
0.608,0.43,0.356,0.754,0.934,0.748,0.781
0.607,0.431,0.356,0.756,0.933,0.749,0.779
0.606,0.432,0.356,0.757,0.933,0.75,0.778
0.605,0.433,0.356,0.759,0.932,0.751,0.777
0.604,0.434,0.355,0.76,0.931,0.751,0.776
0.603,0.434,0.355,0.762,0.931,0.752,0.775
0.602,0.435,0.355,0.763,0.931,0.753,0.774
0.601,0.436,0.355,0.765,0.93,0.754,0.773
0.6,0.437,0.355,0.766,0.929,0.755,0.771
0.599,0.438,0.355,0.768,0.929,0.756,0.77
0.598,0.438,0.355,0.769,0.928,0.756,0.769
0.597,0.439,0.355,0.771,0.927,0.757,0.768
0.596,0.44,0.355,0.772,0.926,0.758,0.767
0.595,0.441,0.355,0.773,0.926,0.759,0.766
0.594,0.441,0.354,0.774,0.925,0.759,0.765
0.593,0.442,0.354,0.776,0.925,0.76,0.764
0.592,0.443,0.354,0.777,0.924,0.761,0.763
0.591,0.443,0.354,0.779,0.924,0.762,0.762
0.59,0.444,0.353,0.781,0.923,0.763,0.761
0.589,0.445,0.353,0.782,0.922,0.764,0.76
0.588,0.445,0.353,0.783,0.921,0.765,0.759
0.587,0.446,0.353,0.785,0.921,0.765,0.759
0.586,0.447,0.353,0.786,0.92,0.766,0.758
0.585,0.447,0.353,0.787,0.92,0.767,0.757
0.584,0.448,0.352,0.788,0.919,0.768,0.756
0.583,0.449,0.352,0.79,0.918,0.769,0.755
0.582,0.45,0.352,0.791,0.917,0.77,0.753
0.581,0.451,0.352,0.792,0.916,0.771,0.752
0.58,0.452,0.352,0.793,0.916,0.771,0.751
0.579,0.452,0.352,0.794,0.915,0.772,0.75
0.578,0.453,0.352,0.795,0.914,0.772,0.749
0.577,0.454,0.352,0.797,0.913,0.773,0.748
0.576,0.455,0.351,0.798,0.912,0.774,0.747
0.575,0.456,0.352,0.799,0.911,0.775,0.746
0.574,0.457,0.351,0.8,0.91,0.775,0.745
0.573,0.457,0.351,0.801,0.91,0.776,0.744
0.572,0.458,0.351,0.802,0.909,0.777,0.743
0.571,0.459,0.351,0.804,0.908,0.778,0.742
0.57,0.46,0.351,0.805,0.908,0.779,0.741
0.569,0.46,0.351,0.806,0.907,0.779,0.74
0.568,0.461,0.35,0.807,0.907,0.78,0.739
0.567,0.462,0.35,0.807,0.906,0.781,0.738
0.566,0.463,0.35,0.808,0.905,0.782,0.737
0.565,0.463,0.35,0.809,0.905,0.783,0.736
0.564,0.464,0.35,0.81,0.904,0.783,0.735
0.563,0.465,0.35,0.811,0.903,0.784,0.734
0.562,0.466,0.35,0.812,0.902,0.785,0.733
0.561,0.467,0.35,0.813,0.901,0.786,0.732
0.56,0.467,0.349,0.814,0.901,0.786,0.731
0.559,0.468,0.349,0.815,0.9,0.787,0.73
0.558,0.469,0.349,0.816,0.899,0.788,0.729
0.557,0.469,0.349,0.817,0.899,0.789,0.728
0.556,0.47,0.349,0.818,0.898,0.79,0.727
0.555,0.471,0.349,0.819,0.897,0.79,0.727
0.554,0.472,0.348,0.82,0.896,0.791,0.726
0.553,0.473,0.348,0.822,0.895,0.792,0.724
0.552,0.473,0.348,0.823,0.894,0.792,0.723
0.551,0.474,0.348,0.824,0.894,0.793,0.722
0.55,0.475,0.348,0.825,0.893,0.794,0.721
0.549,0.476,0.348,0.826,0.892,0.794,0.72
0.548,0.476,0.348,0.827,0.891,0.795,0.719
0.547,0.477,0.348,0.828,0.89,0.796,0.718
0.546,0.478,0.347,0.829,0.89,0.797,0.717
0.545,0.479,0.347,0.83,0.888,0.797,0.716
0.544,0.479,0.347,0.83,0.887,0.798,0.715
0.543,0.48,0.347,0.831,0.887,0.799,0.714
0.542,0.48,0.347,0.832,0.886,0.8,0.713
0.541,0.481,0.347,0.833,0.885,0.8,0.712
0.54,0.482,0.346,0.833,0.884,0.801,0.711
0.539,0.483,0.346,0.834,0.883,0.802,0.71
0.538,0.484,0.346,0.835,0.883,0.802,0.709
0.537,0.484,0.346,0.836,0.882,0.803,0.708
0.536,0.485,0.346,0.836,0.881,0.804,0.707
0.535,0.486,0.345,0.837,0.88,0.804,0.706
0.534,0.486,0.345,0.838,0.879,0.805,0.705
0.533,0.487,0.345,0.839,0.878,0.805,0.704
0.532,0.488,0.345,0.839,0.877,0.806,0.703
0.531,0.489,0.345,0.84,0.876,0.807,0.702
0.53,0.49,0.345,0.841,0.875,0.807,0.701
0.529,0.491,0.345,0.841,0.874,0.807,0.7
0.528,0.491,0.345,0.842,0.873,0.808,0.699
0.527,0.492,0.345,0.843,0.872,0.809,0.698
0.526,0.493,0.345,0.843,0.871,0.809,0.698
0.525,0.494,0.345,0.844,0.87,0.81,0.696
0.524,0.494,0.344,0.845,0.869,0.811,0.695
0.523,0.496,0.344,0.845,0.869,0.812,0.694
0.522,0.496,0.344,0.846,0.868,0.812,0.693
0.521,0.497,0.344,0.847,0.867,0.813,0.692
0.52,0.498,0.344,0.847,0.866,0.813,0.691
0.519,0.498,0.344,0.848,0.865,0.814,0.69
0.518,0.499,0.343,0.849,0.864,0.815,0.689
0.517,0.5,0.343,0.849,0.863,0.815,0.688
0.516,0.501,0.343,0.85,0.862,0.816,0.687
0.515,0.501,0.343,0.851,0.861,0.817,0.687
0.514,0.502,0.343,0.852,0.86,0.817,0.686
0.513,0.503,0.343,0.852,0.859,0.818,0.685
0.512,0.503,0.343,0.853,0.858,0.818,0.684
0.511,0.504,0.342,0.854,0.857,0.819,0.683
0.51,0.505,0.342,0.854,0.856,0.82,0.682
0.509,0.506,0.342,0.855,0.854,0.82,0.681
0.508,0.507,0.342,0.856,0.853,0.821,0.68
0.507,0.507,0.342,0.856,0.852,0.821,0.679
